ГОСТ 10704-91;Труба электросварная прямошовная;Вес;D;s
426;114x2.2;6.07;114;2.2
427;114x2.5;6.87;114;2.5
428;114x2.8;7.68;114;2.8
429;114x3;8.21;114;3
430;114x3.2;8.74;114;3.2
431;114x3.5;9.54;114;3.5
432;114x3.8;10.33;114;3.8
433;114x4;10.85;114;4
434;114x4.5;12.15;114;4.5
435;114x5;13.44;114;5
436;114x5.5;14.72;114;5.5
437;127x1.8;5.56;127;1.8
438;127x2;6.17;127;2
439;127x2.2;6.77;127;2.2
440;127x2.5;7.68;127;2.5
441;127x2.8;8.58;127;2.8
442;127x3;9.17;127;3
443;127x3.2;9.77;127;3.2
444;127x3.5;10.66;127;3.5
445;127x3.8;11.55;127;3.8
446;127x4;12.13;127;4
447;127x4.5;13.59;127;4.5
448;127x5;15.04;127;5
449;127x5.5;16.48;127;5.5
450;133x1.8;5.82;133;1.8
451;133x2;6.46;133;2
452;133x2.2;7.1;133;2.2
453;133x2.5;8.05;133;2.5
454;133x2.8;8.99;133;2.8
455;133x3;9.62;133;3
456;133x3.2;10.24;133;3.2
457;133x3.5;11.18;133;3.5
458;133x3.8;12.11;133;3.8
459;133x4;12.72;133;4
460;133x4.5;14.26;133;4.5
461;133x5;15.78;133;5
462;133x5.5;17.29;133;5.5
463;140x1.8;6.13;140;1.8
464;140x2;6.81;140;2
465;140x2.2;7.48;140;2.2
466;140x2.5;8.48;140;2.5
467;140x2.8;9.47;140;2.8
468;140x3;10.14;140;3
469;140x3.2;10.8;140;3.2
470;140x3.5;11.78;140;3.5
471;140x3.8;12.76;140;3.8
472;140x4;13.42;140;4
473;140x4.5;15.04;140;4.5
474;140x5;16.65;140;5
475;140x5.5;18.24;140;5.5
476;152x1.8;6.67;152;1.8
477;152x2;7.4;152;2
478;152x2.2;8.13;152;2.2
479;152x2.5;9.22;152;2.5
480;152x2.8;10.3;152;2.8
481;152x3;11.02;152;3
482;152x3.2;11.74;152;3.2
483;152x3.5;12.82;152;3.5
484;152x3.8;13.89;152;3.8
485;152x4;14.6;152;4
486;152x4.5;16.37;152;4.5
487;152x5;18.13;152;5
488;152x5.5;19.87;152;5.5
489;159x1.8;6.98;159;1.8
490;159x2;7.74;159;2
491;159x2.2;8.51;159;2.2
492;159x2.5;9.65;159;2.5
493;159x2.8;10.79;159;2.8
494;159x3;11.54;159;3
495;159x3.2;12.29;159;3.2
496;159x3.5;13.42;159;3.5
497;159x3.8;14.54;159;3.8
498;159x4;15.29;159;4
499;159x4.5;17.15;159;4.5
500;159x5;18.99;159;5
501;159x5.5;20.82;159;5.5
502;159x6;22.64;159;6
503;159x7;26.24;159;7
504;159x8;29.79;159;8
505;168x1.8;7.38;168;1.8
506;168x2;8.19;168;2
507;168x2.2;9;168;2.2
508;168x2.5;10.2;168;2.5
509;168x2.8;11.41;168;2.8
510;168x3;12.21;168;3
511;168x3.2;13.01;168;3.2
512;168x3.5;14.2;168;3.5
513;168x3.8;15.39;168;3.8
514;168x4;16.18;168;4
515;168x4.5;18.14;168;4.5
516;168x5;20.1;168;5
517;168x5.5;22.04;168;5.5
518;168x6;23.97;168;6
519;168x7;27.79;168;7
520;168x8;31.57;168;8
521;177.8x1.8;7.81;177.8;1.8
522;177.8x2;8.67;177.8;2
523;177.8x2.2;9.53;177.8;2.2
524;177.8x2.5;10.81;177.8;2.5
525;177.8x2.8;12.08;177.8;2.8
526;177.8x3;12.93;177.8;3
527;177.8x3.2;13.78;177.8;3.2
528;177.8x3.5;15.04;177.8;3.5
529;177.8x3.8;16.31;177.8;3.8
530;177.8x4;17.14;177.8;4
531;177.8x4.5;19.23;177.8;4.5
532;177.8x5;21.31;177.8;5
533;177.8x5.5;23.37;177.8;5.5
534;177.8x6;25.42;177.8;6
535;177.8x7;29.48;177.8;7
536;177.8x8;33.5;177.8;8
537;180x4;17.36;180;4
538;180x5;21.58;180;5
539;193.7x2;9.45;193.7;2
540;193.7x2.2;10.39;193.7;2.2
541;193.7x2.5;11.79;193.7;2.5
542;193.7x2.8;13.18;193.7;2.8
543;193.7x3;14.11;193.7;3
544;193.7x3.2;15.03;193.7;3.2
545;193.7x3.5;16.42;193.7;3.5
546;193.7x3.8;17.8;193.7;3.8
547;193.7x4;18.71;193.7;4
548;193.7x4.5;21;193.7;4.5
549;193.7x5;23.27;193.7;5
550;193.7x5.5;25.53;193.7;5.5
551;193.7x6;27.77;193.7;6
552;193.7x7;32.23;193.7;7
553;193.7x8;36.64;193.7;8
554;219x2.5;13.35;219;2.5
555;219x2.8;14.93;219;2.8
556;219x3;15.98;219;3
557;219x3.2;17.03;219;3.2
558;219x3.5;18.6;219;3.5
559;219x3.8;20.17;219;3.8
560;219x4;21.21;219;4
561;219x4.5;23.8;219;4.5
562;219x5;26.39;219;5
563;219x5.5;28.96;219;5.5
564;219x6;31.52;219;6
565;219x7;36.6;219;7
566;219x8;41.63;219;8
567;219x9;46.61;219;9
568;244.5x3;17.87;244.5;3
569;244.5x3.2;19.04;244.5;3.2
570;244.5x3.5;20.8;244.5;3.5
571;244.5x3.8;22.56;244.5;3.8
572;244.5x4;23.72;244.5;4
573;244.5x4.5;26.63;244.5;4.5
574;244.5x5;29.53;244.5;5
575;244.5x5.5;32.42;244.5;5.5
576;244.5x6;35.29;244.5;6
577;244.5x7;41;244.5;7
578;244.5x8;46.66;244.5;8
579;244.5x9;52.27;244.5;9
580;273x3.5;23.26;273;3.5
581;273x3.8;25.23;273;3.8
582;273x4;26.53;273;4
583;273x4.5;29.8;273;4.5
584;273x5;33.05;273;5
585;273x5.5;36.28;273;5.5
586;273x6;39.51;273;6
587;273x7;45.92;273;7
588;273x8;52.28;273;8
589;273x9;58.59;273;9
590;325x4;31.66;325;4
591;325x4.5;35.57;325;4.5
592;325x5;39.46;325;5
593;325x5.5;43.34;325;5.5
594;325x6;47.2;325;6
595;325x7;54.89;325;7
596;325x8;62.54;325;8
597;325x9;70.14;325;9
598;355.6x4;34.68;355.6;4
599;355.6x4.5;38.96;355.6;4.5
600;355.6x5;43.23;355.6;5
601;355.6x5.5;47.49;355.6;5.5
602;355.6x6;51.73;355.6;6
603;355.6x7;60.18;355.6;7
604;355.6x8;68.58;355.6;8
605;355.6x9;76.93;355.6;9
606;355.6x10;85.23;355.6;10
607;377x4;36.79;377;4
608;377x4.5;41.34;377;4.5
609;377x5;45.87;377;5
610;377x5.5;50.39;377;5.5
611;377x6;54.89;377;6
612;377x7;63.87;377;7
613;377x8;72.8;377;8
614;377x9;81.68;377;9
615;377x10;90.51;377;10
616;406.4x4;39.69;406.4;4
617;406.4x4.5;44.6;406.4;4.5
618;406.4x5;49.49;406.4;5
619;406.4x5.5;54.38;406.4;5.5
620;406.4x6;59.25;406.4;6
621;406.4x7;68.95;406.4;7
622;406.4x8;78.6;406.4;8
623;406.4x9;88.2;406.4;9
624;406.4x10;97.76;406.4;10
625;406.4x11;107.26;406.4;11
626;406.4x12;116.71;406.4;12
627;426x4;41.63;426;4
628;426x4.5;46.78;426;4.5
629;426x5;51.91;426;5
630;426x5.5;57.03;426;5.5
631;426x6;62.15;426;6
632;426x7;72.33;426;7
633;426x8;82.47;426;8
634;426x9;92.55;426;9
635;426x10;102.59;426;10
636;426x11;112.58;426;11
637;426x12;122.51;426;12
638;478x5;58.32;478;5
639;478x5.5;64.09;478;5.5
640;478x6;69.84;478;6
641;478x7;81.31;478;7
642;478x8;92.72;478;8
643;478x9;104.09;478;9
644;478x10;115.41;478;10
645;478x11;126.68;478;11
646;478x12;137.9;478;12
647;530x5;64.73;530;5
648;530x5.5;71.14;530;5.5
649;530x6;77.53;530;6
650;530x7;90.28;530;7
651;530x8;102.98;530;8
652;530x9;115.63;530;9
653;530x10;128.24;530;10
654;530x11;140.79;530;11
655;530x12;153.29;530;12
656;530x13;165.75;530;13
657;530x14;178.15;530;14
658;530x16;202.81;530;16
659;530x17;215.07;530;17
660;530x17.5;221.18;530;17.5
661;530x18;227.27;530;18
662;530x19;239.43;530;19
663;530x20;251.54;530;20
664;530x21;263.6;530;21
665;530x22;275.61;530;22
666;530x23;287.57;530;23
