#-#	Sizes	h=b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix=Iy(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
80	L 80x80	80	7	0	10	5	0	0	0	0	0	0	0	0
81	L 80x80	80	8	0	10	5	0	0	0	0	0	0	0	0
82	L 80x80	80	9	0	10	5	0	0	0	0	0	0	0	0
83	L 80x80	80	10	0	10	5	0	0	0	0	0	0	0	0
84	L 80x80	80	12	0	10	5	0	0	0	0	0	0	0	0
85	L 80x80	80	14	0	10	5	0	0	0	0	0	0	0	0
86-14	L 90x90	90	6	0	11	5.5	0	0	0	0	0	0	0	0
87	L 90x90	90	7	9.6	11	5.5	12.24	92.5	14.13	2.75	147.1	3.47	38.02	1.76
88	L 90x90	90	8	10.9	11	5.5	13.89	104.4	16.05	2.74	165.9	3.46	42.87	1.76
89	L 90x90	90	9	12.2	11	5.5	15.52	115.8	17.93	2.73	184	3.44	47.63	1.75
90	L 90x90	90	10	13.4	11	5.5	0	0	0	0	0	0	0	0
91	L 90x90	90	11	14.7	11	5.5	0	0	0	0	0	0	0	0
92	L 90x90	90	12	0	11	5.5	0	0	0	0	0	0	0	0
93	L 90x90	90	13	0	11	5.5	0	0	0	0	0	0	0	0
94	L 90x90	90	16	0	11	5.5	0	0	0	0	0	0	0	0
95-15	L 100x100	100	6	0	12	6	0	0	0	0	0	0	0	0
96	L 100x100	100	8	12.2	12	6	15.51	144.8	19.94	3.06	230.2	3.85	59.47	1.96
97	L 100x100	100	10	15	12	6	19.15	176.7	24.62	3.04	280.7	3.83	72.64	1.95
98	L 100x100	100	12	17.8	12	6	22.71	206.7	29.12	3.02	328	3.8	85.42	1.94
99	L 100x100	100	14	0	12	6	0	0	0	0	0	0	0	0
100	L 100x100	100	16	0	12	6	0	0	0	0	0	0	0	0
101	L 100x100	100	20	0	12	6	0	0	0	0	0	0	0	0
102-16	L 110x110	110	8	0	13	6.5	0	0	0	0	0	0	0	0
103	L 110x110	110	10	16.6	13	6.5	21.18	238	29.99	3.35	378.2	4.23	97.72	2.15
104	L 110x110	110	12	19.7	13	6.5	25.14	279.1	35.54	3.33	443.3	4.2	115	2.14
105	L 110x110	110	14	0	13	6.5	0	0	0	0	0	0	0	0
106	L 110x110	110	16	0	13	6.5	0	0	0	0	0	0	0	0
107-17	L 120x120	120	8	0	13	6.5	0	0	0	0	0	0	0	0
108	L 120x120	120	10	18.2	13	6.5	23.18	312.9	36.03	3.67	497.6	4.63	128.3	2.35
109	L 120x120	120	11	19.9	13	6.5	25.37	340.6	39.41	3.66	541.5	4.62	139.7	2.35
110	L 120x120	120	12	21.6	13	6.5	27.54	367.7	42.73	3.65	584.3	4.61	151	2.34
111	L 120x120	120	13	23.3	13	6.5	29.69	394	46.01	3.64	625.9	4.59	162.2	2.34
112	L 120x120	120	15	26.6	13	6.5	33.93	444.9	52.43	3.62	705.6	4.56	184.1	2.33
113	L 120x120	120	18	0	13	6.5	0	0	0	0	0	0	0	0
114-18	L 130x130	130	12	23.5	14	7	29.97	472.2	50.44	3.97	750.6	5	193.7	2.54
115	L 130x130	130	14	0	14	7	0	0	0	0	0	0	0	0
116	L 130x130	130	16	0	14	7	0	0	0	0	0	0	0	0
117	L 130x130	130	19	0	14	7	0	0	0	0	0	0	0	0
118-19	L 140x140	140	10	21.4	15	7.5	27.24	504.4	49.43	4.3	802	5.43	206.8	2.76
119	L 140x140	140	13	27.4	15	7.5	34.95	638.5	63.37	4.27	1015	5.39	262	2.74
120	L 140x140	140	15	0	15	7.5	0	0	0	0	0	0	0	0
121	L 140x140	140	16	0	15	7.5	0	0	0	0	0	0	0	0
122	L 140x140	140	17	0	15	7.5	0	0	0	0	0	0	0	0
123	L 140x140	140	19	0	15	7.5	0	0	0	0	0	0	0	0
124	L 140x140	140	20	0	15	7.5	0	0	0	0	0	0	0	0
125-20	L 150x150	150	10	23	16	8	29.27	624	56.91	4.62	992	5.82	256	2.96
126	L 150x150	150	12	27.3	16	8	34.83	736.9	67.75	4.6	1172	5.80	302	2.94
127	L 150x150	150	14	31.6	16	8	40.31	845.4	78.33	4.58	1344	5.77	346.8	2.93
128	L 150x150	150	15	33.8	16	8	43.02	898.1	83.52	4.57	1427	5.76	368.9	2.93
129	L 150x150	150	18	40.1	16	8	51.03	1050	98.74	4.54	1666	5.71	433.8	2.92
130	L 150x150	150	20	0	16	8	0	0	0	0	0	0	0	0
131-21	L 160x160	160	14	33.9	17	8.5	43.15	1034	89.50	4.89	1644	6.17	423.8	3.13
132	L 160x160	160	15	36.2	17	8.5	46.06	1099	95.47	4.88	1747	6.16	450.8	3.13
133	L 160x160	160	16	38.4	17	8.5	48.95	1163	101.38	4.87	1848	6.14	477.6	3.12
134	L 160x160	160	17	40.7	17	8.5	51.82	1225	107.2	4.86	1947	6.13	504.1	3.12
135	L 160x160	160	19	0	17	8.5	0	0	0	0	0	0	0	0
136-22	L 180x180	180	13	35.7	18	9	45.46	1396	106.5	5.54	2221	6.99	571.6	3.55
